No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
116,bmg2023qreu,2023-08-26T02:18:12.583025Z,-6.263358593,103.2887039,3.995280178,MLv,10,30,237.4930878,"Southwest of Sumatra, Indonesia",BMKG
43,bmg2023qynk,2023-08-30T02:36:28.329881Z,-6.021728992,103.8884201,3.271049026,MLv,11,22,184.1620789,"Southwest of Sumatra, Indonesia",BMKG
39,bmg2023qyvi,2023-08-30T06:36:49.081706Z,-6.050735474,103.878334,3.420222862,MLv,10,24,186.092804,"Southwest of Sumatra, Indonesia",BMKG
767,bmg2023ribw,2023-09-04T08:08:55.62892Z,-5.372297764,101.8281631,4.781293504,MLv,58,84,212.0374069,"Southwest of Sumatra, Indonesia",BMKG
673,bmg2023rnzx,2023-09-07T13:57:38.671916Z,-6.489207745,103.6760788,4.103359468,MLv,13,38,202.3290482,"Southwest of Sumatra, Indonesia",BMKG
570,bmg2023rthe,2023-09-10T11:18:42.209362Z,-6.028577328,103.8923569,3.522003518,M,10,35,180.6079025,"Southwest of Sumatra, Indonesia",BMKG
498,bmg2023rxoi,2023-09-12T19:28:35.24684Z,-0.311030179,97.03079987,4.013458028,MLv,59,46,216.057663,"Southwest of Sumatra, Indonesia",BMKG
382,bmg2023sfub,2023-09-17T07:27:34.282926Z,-6.232303619,103.7889709,3.97392986,M,15,31,250.9509125,"Southwest of Sumatra, Indonesia",BMKG
291,bmg2023snpd,2023-09-21T14:03:52.723015Z,-6.213215828,101.2836456,4.599198174,MLv,35,63,238.1277847,"Southwest of Sumatra, Indonesia",BMKG
285,bmg2023snxj,2023-09-21T18:13:36.721615Z,-6.37400198,103.6847458,4.518951748,MLv,25,74,197.0414276,"Southwest of Sumatra, Indonesia",BMKG
253,bmg2023sqkh,2023-09-23T03:00:55.855298Z,-6.014856815,103.8861923,3.559392967,MLv,10,22,204.8966675,"Southwest of Sumatra, Indonesia",BMKG
88,bmg2023szuz,2023-09-28T06:38:29.31045Z,-6.127808094,101.9885559,4.124006794,MLv,24,22,272.4935074,"Southwest of Sumatra, Indonesia",BMKG
87,bmg2023szyq,2023-09-28T08:29:29.522911Z,-6.017812729,103.9083023,4.122950409,M,10,53,175.2435989,"Southwest of Sumatra, Indonesia",BMKG
80,bmg2023tame,2023-09-28T15:19:48.513726Z,-6.012367249,103.9089355,3.853447492,MLv,10,53,174.9712143,"Southwest of Sumatra, Indonesia",BMKG
42,bmg2023tdri,2023-09-30T09:20:29.135088Z,-6.349987507,103.8228683,4.19684085,MLv,10,46,195.195076,"Southwest of Sumatra, Indonesia",BMKG
37,bmg2023tefm,2023-09-30T16:29:19.037095Z,-6.452327728,103.7099304,3.683080654,MLv,30,25,199.8699341,"Southwest of Sumatra, Indonesia",BMKG
639,bmg2023tqjk,2023-10-07T08:06:21.811224Z,-0.369444937,97.28913879,4.619714631,MLv,43,90,205.8679352,"Southwest of Sumatra, Indonesia",BMKG
635,bmg2023tquf,2023-10-07T13:33:57.96015Z,-6.054640293,103.9264908,4.445997012,MLv,11,87,176.6024246,"Southwest of Sumatra, Indonesia",BMKG
537,bmg2023txsx,2023-10-11T08:51:26.808115Z,-6.02145195,103.899971,3.43927051,MLv,10,19,261.1599197,"Southwest of Sumatra, Indonesia",BMKG
414,bmg2023ugkh,2023-10-16T02:43:51.147438Z,-4.021741867,100.403923,3.980990996,MLv,10,31,211.7781906,"Southwest of Sumatra, Indonesia",BMKG
379,bmg2023ujjx,2023-10-17T17:57:15.351022Z,-5.047604561,101.9513245,3.13710066,MLv,18,23,223.4649048,"Southwest of Sumatra, Indonesia",BMKG
334,bmg2023unje,2023-10-19T22:07:44.336443Z,-6.56576395,103.6966705,3.425855899,M,10,26,236.0325241,"Southwest of Sumatra, Indonesia",BMKG
330,bmg2023unsi,2023-10-20T02:44:12.956107Z,-6.358261585,103.5813217,4.497868017,M,40,56,199.0454025,"Southwest of Sumatra, Indonesia",BMKG
168,bmg2023uxzb,2023-10-25T17:30:45.040172Z,-6.052577019,103.8543625,2.959826571,M,10,17,264.5181351,"Southwest of Sumatra, Indonesia",BMKG
55,bmg2023vhga,2023-10-30T19:15:09.621771Z,-3.657510042,99.48159027,4.586252983,MLv,20,47,220.1794815,"Southwest of Sumatra, Indonesia",BMKG
996,bmg2023vsdw,2023-11-05T18:38:43.769832Z,-6.047786236,103.8887558,2.202324037,MLv,10,17,263.4939728,"Southwest of Sumatra, Indonesia",BMKG
988,bmg2023vsjm,2023-11-05T21:29:31.2995Z,-6.016494751,103.8995743,3.213686177,MLv,10,27,183.6083603,"Southwest of Sumatra, Indonesia",BMKG
979,bmg2023vsto,2023-11-06T02:34:36.109957Z,-6.002707005,103.9108124,3.770091659,MLv,10,30,219.21138,"Southwest of Sumatra, Indonesia",BMKG
888,bmg2023vxis,2023-11-08T14:46:53.446697Z,-6.018310547,103.9166489,3.105172996,MLv,10,19,213.1062927,"Southwest of Sumatra, Indonesia",BMKG
835,bmg2023vyxm,2023-11-09T11:22:15.252037Z,-6.253190041,103.4296875,3.669849709,M,16,29,198.4993134,"Southwest of Sumatra, Indonesia",BMKG
766,bmg2023wbbh,2023-11-10T15:34:31.410493Z,-6.009558678,103.9267502,3.407602037,M,10,21,182.6038742,"Southwest of Sumatra, Indonesia",BMKG
731,bmg2023wctx,2023-11-11T14:07:19.455109Z,-6.280246258,103.5786057,3.431176182,MLv,10,16,288.7742767,"Southwest of Sumatra, Indonesia",BMKG
654,bmg2023wgyd,2023-11-13T20:47:57.436346Z,-0.649109244,97.22714233,4.458347339,MLv,20,64,217.6283569,"Southwest of Sumatra, Indonesia",BMKG
558,bmg2023wnad,2023-11-17T04:37:02.934508Z,-6.061855793,103.8455887,3.470296095,MLv,10,12,234.0291748,"Southwest of Sumatra, Indonesia",BMKG
336,bmg2023wyux,2023-11-23T15:36:33.659126Z,-3.546150446,99.73722839,3.702285178,M,15,36,230.0657349,"Southwest of Sumatra, Indonesia",BMKG
281,bmg2023xayl,2023-11-24T19:40:29.37916Z,-1.507741332,97.73974609,3.890498306,MLv,30,44,218.2760544,"Southwest of Sumatra, Indonesia",BMKG
210,bmg2023xduv,2023-11-26T09:15:06.606421Z,-7.535724163,104.579071,3.888244453,MLv,20,54,237.4412689,"Southwest of Sumatra, Indonesia",BMKG
94,bmg2023xkts,2023-11-30T04:38:09.770326Z,-6.34676218,103.3423767,3.880504461,MLv,55,22,248.7337189,"Southwest of Sumatra, Indonesia",BMKG
693,bmg2023yaid,2023-12-08T16:57:56.983642Z,-6.118508816,103.777153,3.792624565,M,22,41,211.5333405,"Southwest of Sumatra, Indonesia",BMKG
226,bmg2023zckt,2023-12-24T02:05:57.610049Z,-7.044141769,104.9374695,4.675865392,MLv,34,68,142.7581024,"Southwest of Sumatra, Indonesia",BMKG
112,bmg2023zjwb,2023-12-28T03:46:08.616044Z,-6.056532383,103.864212,2.965176693,MLv,10,21,217.5079575,"Southwest of Sumatra, Indonesia",BMKG
618,bmg2024apnm,2024-01-09T11:50:58.281521Z,-6.121668816,103.8892975,4.325601867,MLv,23,37,213.3488464,"Southwest of Sumatra, Indonesia",BMKG
539,bmg2024ausc,2024-01-12T07:51:14.285203Z,-5.840443134,101.7841568,4.22826596,MLv,34,73,222.1536942,"Southwest of Sumatra, Indonesia",BMKG
383,bmg2024bfeu,2024-01-18T01:38:30.992738Z,-6.154463291,101.5786896,4.72120139,MLv,10,70,226.4530563,"Southwest of Sumatra, Indonesia",BMKG
75,bmg2024bwwb,2024-01-27T17:40:42.077041Z,-3.839478731,99.71772766,3.841358116,MLv,12,50,239.6386948,"Southwest of Sumatra, Indonesia",BMKG
53,bmg2024bymw,2024-01-28T15:18:16.29369Z,-6.278318882,103.6830521,3.369606575,MLv,13,30,226.5650864,"Southwest of Sumatra, Indonesia",BMKG
