No,Event ID,Date time,Latitude,Longitude,Magnitude,Mag Type,Depth (km),Phase Count,Azimuth Gap,Location,Agency
192,bmg2023iarf,2023-04-25T04:58:22.251154Z,-0.42316249,98.76031494,2.783817628,MLv,10,16,201.3740997,"Southern Sumatra, Indonesia",BMKG
186,bmg2023ibbl,2023-04-25T10:09:00.221825Z,-0.293324173,98.7325592,2.965083488,M,10,20,143.4848328,"Southern Sumatra, Indonesia",BMKG
182,bmg2023ibif,2023-04-25T13:34:05.791122Z,-0.467869401,98.81499481,3.090630466,MLv,25,25,155.0991516,"Southern Sumatra, Indonesia",BMKG
169,bmg2023ibtm,2023-04-25T19:15:36.670662Z,-0.061651573,100.1277466,2.802823314,MLv,10,40,93.65338135,"Southern Sumatra, Indonesia",BMKG
144,bmg2023idep,2023-04-26T14:01:33.051924Z,-2.280665636,100.7926941,3.035647458,MLv,40,24,108.4057617,"Southern Sumatra, Indonesia",BMKG
137,bmg2023idid,2023-04-26T15:48:49.856168Z,-4.679373264,101.7851257,3.426559843,MLv,12,18,218.1541915,"Southern Sumatra, Indonesia",BMKG
134,bmg2023idmz,2023-04-26T18:15:23.937868Z,-0.947684586,98.87191772,3.849914214,MLv,11,30,177.3437958,"Southern Sumatra, Indonesia",BMKG
133,bmg2023idog,2023-04-26T18:53:32.758343Z,-0.905052424,98.47493744,3.611487588,MLv,37,31,199.9447784,"Southern Sumatra, Indonesia",BMKG
129,bmg2023idxk,2023-04-26T23:31:15.23183Z,-0.472275794,98.82704163,3.926573108,MLv,14,51,152.7648621,"Southern Sumatra, Indonesia",BMKG
112,bmg2023iexx,2023-04-27T12:54:19.881249Z,-2.553476334,102.0163116,2.93310423,M,152,27,146.5125275,"Southern Sumatra, Indonesia",BMKG
88,bmg2023igku,2023-04-28T08:33:03.22531Z,-4.934796333,102.8725739,3.22779884,MLv,27,35,117.9543228,"Southern Sumatra, Indonesia",BMKG
51,bmg2023iics,2023-04-29T06:44:20.237673Z,-5.432346344,102.9621429,3.572797974,MLv,20,44,166.3127441,"Southern Sumatra, Indonesia",BMKG
27,bmg2023ijcp,2023-04-29T19:49:04.411498Z,-1.818118691,100.7619247,2.57587339,MLv,20,27,105.1967621,"Southern Sumatra, Indonesia",BMKG
26,bmg2023ijdp,2023-04-29T20:19:30.057745Z,-4.609864712,102.0304871,3.282803884,MLv,14,31,154.3312378,"Southern Sumatra, Indonesia",BMKG
688,bmg2023iovh,2023-05-02T22:56:27.349203Z,-5.215339184,102.465271,4.694819126,MLv,22,131,116.2714844,"Southern Sumatra, Indonesia",BMKG
648,bmg2023issc,2023-05-05T01:52:14.949297Z,-3.093728781,101.2261505,3.510317087,MLv,24,42,129.9655762,"Southern Sumatra, Indonesia",BMKG
